,index,yes,no
0,239,50372653.225207165,0.0
1,232,30394841.984804146,52575.1670582367
2,227,30565509.95426063,329898.8097734942
3,221,30799899.878889088,16348075.971494554
4,219,44349149.885587655,2738190.4208938363
5,218,30276875.258131795,18106506.949889667
6,217,40702041.919984445,1640840.3
7,215,46815598.2142856,1226423.4874816907
8,214,33425573.548384283,11486700.826510545
9,212,54351.1965872279,3985580.230266724
10,211,34911411.57795172,11114664.132716475
11,210,8747316.168064626,0.0
12,209,32596761.284318842,14755228.009936797
13,208,0.0,13752258.073958397
14,207,42536356.29766142,1063767.3631033082
15,206,0.0,3273022.3646644778
16,204,13526278.503535138,1612050.1
17,203,30782.7824,16109800.952344526
18,202,40944721.18626405,4103318.8213073215
19,201,35060081.54796286,11070011.057488972
20,200,32575630.328886285,2073723.9689864835
21,199,30365733.39115184,13408950.321774285
22,198,7170544.101573456,506801.5396327592
23,197,7594055.146525092,109018.2
24,196,31186632.47414238,343162.0886441372
25,195,22322.9872152575,12612869.943638694
26,194,30376400.769506324,1079535.4249467973
27,193,32315766.331863116,11182083.817293655
28,192,65021.755100001,15562634.646787075
29,191,33262736.88073045,10787522.713151388
30,190,31195889.030664813,45005.2
31,189,155746.3318779763,15581247.351948902
32,188,305821.9566813823,15559045.30397792
33,187,30398607.270912293,4716779.223331273
34,186,3424916.8906073472,12446818.670847822
35,185,30524674.569029473,14315844.145121774
36,184,31090138.862718776,1139827.406690996
37,183,12137026.573350409,2290402.568058237
38,182,42262.7451,10678793.697015744
39,181,31642966.23765287,11301172.215252753
40,180,3492930.8145728265,11707775.346271057
41,179,47292663.41660337,1759274.7082190136
42,178,15609959.24957572,13069205.742926199
43,177,41836941.46930335,1508814.1225582368
44,176,9618419.74893157,7010.0
45,175,19405171.774119355,11687126.732700344
46,174,113592244.21684125,10.0
47,173,453451.1,9617022.639728453
48,172,15974743.506895315,13259460.570952611
49,171,7838951.480903813,78191.1
50,170,30182311.032798253,10517214.32476315
51,169,239659.293476854,7506281.359547438
52,168,16642848.860186372,10902778.199072879
53,167,34596354.21283184,10546691.98594188
54,166,79878627.77888377,469179.9508784957
55,165,15885988.959660271,14215047.154586323
56,164,1124068.261025354,10.0
57,163,13862980.444431776,2560151.2917201086
58,162,16363832.556860913,3029531.992731462
