,Address,Referendum,Vote,Amount,EffectiveVotes
0,115CGLLXe4SE41MF3vhxvtyhuxTyuVsqPAAV5kz1QcSmVX6,158,no,,105420.0
1,11Q7ismkHUbbUexpQc4DgTvedfsh8jKMDV7jZZoQwv57NLS,132,yes,,7965913.36
2,11gqpAyU17G9EFW5n5MNngh824F3Y2as72V2rgc7Wq5JVRd,175,yes,,15000000.0
3,11gqpAyU17G9EFW5n5MNngh824F3Y2as72V2rgc7Wq5JVRd,222,yes,,5000000.0
4,11gqpAyU17G9EFW5n5MNngh824F3Y2as72V2rgc7Wq5JVRd,81,no,,5000000.0
5,12CFeee5mx2Chz77YWGZeEQKbCBsp1ayxfXAeJa77Aamg7hC,102,no,,563095.8435142736
6,12CFeee5mx2Chz77YWGZeEQKbCBsp1ayxfXAeJa77Aamg7hC,107,no,,563095.8435142736
7,12CFeee5mx2Chz77YWGZeEQKbCBsp1ayxfXAeJa77Aamg7hC,120,yes,,563095.8435142736
8,12CFeee5mx2Chz77YWGZeEQKbCBsp1ayxfXAeJa77Aamg7hC,125,yes,,563095.8435142736
9,12CFeee5mx2Chz77YWGZeEQKbCBsp1ayxfXAeJa77Aamg7hC,135,yes,,563095.8435142736
10,12CFeee5mx2Chz77YWGZeEQKbCBsp1ayxfXAeJa77Aamg7hC,179,yes,,563095.8435142736
11,12CFeee5mx2Chz77YWGZeEQKbCBsp1ayxfXAeJa77Aamg7hC,213,no,,643095.8435142736
12,12CFeee5mx2Chz77YWGZeEQKbCBsp1ayxfXAeJa77Aamg7hC,81,no,,563095.8435142736
13,12CFeee5mx2Chz77YWGZeEQKbCBsp1ayxfXAeJa77Aamg7hC,82,yes,,563095.8435142736
14,12CFeee5mx2Chz77YWGZeEQKbCBsp1ayxfXAeJa77Aamg7hC,85,yes,,563095.8435142736
15,12GU59R7ZEsjiu8uAtipVpHHSaruMA86r3QbKmK7PGQdznt4,29,yes,,1017832.0
16,12H2VfiLs4NoVcj7VRwddn63RiKGwDaBPPWLjwwRkxKu1nx6,203,no,,600000.0
17,12H2VfiLs4NoVcj7VRwddn63RiKGwDaBPPWLjwwRkxKu1nx6,204,no,,600000.0
18,12H2VfiLs4NoVcj7VRwddn63RiKGwDaBPPWLjwwRkxKu1nx6,213,no,,1200000.0
19,12H2VfiLs4NoVcj7VRwddn63RiKGwDaBPPWLjwwRkxKu1nx6,215,yes,,600000.0
20,12H2VfiLs4NoVcj7VRwddn63RiKGwDaBPPWLjwwRkxKu1nx6,219,no,,600000.0
21,12H2VfiLs4NoVcj7VRwddn63RiKGwDaBPPWLjwwRkxKu1nx6,221,no,,600000.0
22,12H2VfiLs4NoVcj7VRwddn63RiKGwDaBPPWLjwwRkxKu1nx6,231,no,,1200000.0
23,12K5KMTaHvEE3r3PLu5i5yv5FmFLCXLZpSJTquKE5MDmvVRu,148,yes,,450000.0
24,12RYJb5gG4hfoWPK3owEYtmWoko8G6zwYpvDYTyXFVSfJr8Y,132,yes,,2193000.0
25,12RYJb5gG4hfoWPK3owEYtmWoko8G6zwYpvDYTyXFVSfJr8Y,174,yes,,2193000.0
26,12TpxxQ9QkXHHnE5DdGRkwhgPAk8ewqEdt479eVHTDUFw1mT,90,yes,,250000.0
27,12TwHHveFeGtUYDBfBaaFB1Jr1YnsD3Mo9hm3XNLc1GWHetP,5,yes,,548357.177010232
28,12UCSRxm3sCoX6tCkycf5TMgA3xY7Uyp44NjqFEHM6gRbcxL,125,yes,,18750000.0
29,12UCSRxm3sCoX6tCkycf5TMgA3xY7Uyp44NjqFEHM6gRbcxL,157,no,,18750000.0
30,12UCSRxm3sCoX6tCkycf5TMgA3xY7Uyp44NjqFEHM6gRbcxL,81,no,,31250000.0
31,12VdXW8h24ZTJDCvphRxWgms54wmgUr6kKzmL1rLhPRjMwQY,101,yes,,250000.0
32,12VdXW8h24ZTJDCvphRxWgms54wmgUr6kKzmL1rLhPRjMwQY,102,yes,,250000.0
33,12VdXW8h24ZTJDCvphRxWgms54wmgUr6kKzmL1rLhPRjMwQY,103,yes,,250000.0
34,12VdXW8h24ZTJDCvphRxWgms54wmgUr6kKzmL1rLhPRjMwQY,107,no,,250000.0
35,12VdXW8h24ZTJDCvphRxWgms54wmgUr6kKzmL1rLhPRjMwQY,109,no,,250000.0
36,12VdXW8h24ZTJDCvphRxWgms54wmgUr6kKzmL1rLhPRjMwQY,111,yes,,250000.0
37,12VdXW8h24ZTJDCvphRxWgms54wmgUr6kKzmL1rLhPRjMwQY,118,yes,,250000.0
38,12VdXW8h24ZTJDCvphRxWgms54wmgUr6kKzmL1rLhPRjMwQY,119,yes,,250000.0
39,12VdXW8h24ZTJDCvphRxWgms54wmgUr6kKzmL1rLhPRjMwQY,120,yes,,250000.0
40,12VdXW8h24ZTJDCvphRxWgms54wmgUr6kKzmL1rLhPRjMwQY,125,yes,,250000.0
